Identificador;Comuna;Link;Tipo;Habitaciones;Banos;Estacionamientos;Metros cuadrados;Direccion
C13248549;La Cisterna;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-cisterna/casa/ramon-carvallogran-avenida-jose-miguel-carrera/3514992;Casa;3;1;No;140;La Cisterna, Ramon carvallo/gran avenida jose miguel carrera
C13248550;La Cisterna;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-cisterna/casa/prof-alcaino-564/3701254;Casa;4;2;3;120;La Cisterna, Prof Alca<ed>no 564
C13248551;La Cisterna;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-cisterna/casa/gran-avenidamanuel-fischman/3565231;Casa;3;1;No;96;La Cisterna, Gran Avenida/Manuel Fischman
C13248552;La Cisterna;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-cisterna/casa/bombero-encalada/3644227;Casa;6;3;6;149;La Cisterna, Bombero Encalada
C13248553;La Cisterna;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-cisterna/casa/ramon-carvallogran-avenida-jose-miguel-carrera/3331433;Casa;3;1;No;140;La Cisterna, Ramon carvallo/gran avenida jose miguel carrera
C13248554;La Cisterna;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-cisterna/casa/metro-la-cisterna-bombero-encaladagran-avenida/2934225;Casa;4;3;No;295;La Cisterna, Metro La Cisterna / Bombero Encalada/Gran Avenida
C13248555;La Florida;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-florida/casa/los-olivoslos-raulies/3429516;Casa;5;4;No;140;La Florida, Los Olivos/Los Raul<ed>es
C13248558;La Florida;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-florida/casa/santa-juliabrasil/1049373;Casa;2;1;No;75;La Florida, Santa Julia/Brasil
C13248559;La Florida;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-florida/casa/rojas-magallanesavda-ecuador/3380368;Casa;5;3;No;140;La Florida, Rojas magallanes/avda ecuador
C13248560;La Florida;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-florida/casa/santa-liliana/3451509;Casa;3;2;2;102;La Florida, Santa Liliana
C13248561;La Florida;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-florida/casa/portales-de-piedra-oriente/3463135;Casa;3;3;2;114;La Florida, Portales de Piedra Oriente
C13248562;La Florida;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-florida/casa/casa-de-un-piso-a-pasos-de-estacion-metro-trinidad-la-florida/3109583;Casa;4;2;No;123;La Florida, Casa de un piso a pasos de Estaci<f3>n metro Trinidad. La Florida
C13248563;La Florida;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-florida/casa/rojas-magallanesvicuna-mackenna/3434184;Casa;4;3;1;250;La Florida, Rojas Magallanes/Vicu<f1>a Mackenna
C13248564;La Florida;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-florida/casa/p20-avda-la-florida-entre-santa-amalia-y-santa-ines/3520298;Casa;3;2;2;114;La Florida, P.20 Avda. La Florida Entre Santa Amalia y Santa In<e9>s
C13248565;La Florida;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-florida/casa/tte-de-marina-rolando-froden/3154705;Casa;5;3;6;122;La Florida, Tte de Marina Rolando Froden
C13248567;La Florida;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-florida/casa/santa-juliaav-mexico/3713135;Casa;4;2;No;226;La Florida, Santa Julia/Av. Mexico
C13248569;La Florida;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-florida/casa/colegio-antuquenu-andino/2835948;Casa;1;1;No;95;La Florida, Colegio Antuquenu Andino
C13248570;La Florida;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-florida/casa/lientur/3002413;Casa;4;4;5;182;La Florida, Lientur
C13248571;La Florida;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-florida/casa/mexicowalker-martinez/3405757;Casa;3;2;No;100;La Florida, M<e9>xico/Walker Martinez
C13248572;La Florida;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-florida/casa/camino-de-la-providencia/3589646;Casa;4;2;2;120;La Florida, Camino de La Providencia
C13248573;La Florida;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-florida/casa/panama-con-santa-julia/2658528;Casa;3;5;No;340;La Florida, Panama con santa julia
C13248574;La Florida;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-florida/casa/propiedad-de-700m2-de-terreno-en-sector-residencial-la-florida/3728222;Casa;3;3;No;200;La Florida, Propiedad de 700m2 de terreno en sector residencial. La Florida
C13248575;La Florida;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-florida/casa/casa-en-san-jose-de-la-estrella/3734444;Casa;2;1;No;62;La Florida, Casa en San Jos<e9> de la Estrella
C13248577;La Florida;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-florida/casa/la-florida-region-metropolitana/3357461;Casa;3;2;2;120;NA
C13248578;La Florida;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-florida/casa/avenida-mexico/2641109;Casa;3;2;2;86;La Florida, Avenida Mexico
C13248579;La Florida;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-florida/casa/quebrada-las-perdicescamino-el-convento/3709606;Casa;4;2;No;110;La Florida, Quebrada Las Perdices/Camino el Convento
C13248580;La Florida;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-florida/casa/los-olivos-norte-4950/3669963;Casa;5;4;2;140;NA
C13248581;La Florida;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-florida/casa/panamarojas-magallanes/3446797;Casa;5;3;No;230;La Florida, Panama/Rojas Magallanes
C13248582;La Florida;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-florida/casa/la-florida-region-metropolitana/2988676;Casa;16;12;3;389;NA
C13248583;La Florida;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-florida/casa/av-vicuna-mackennabacteriologico/3026818;Casa;3;2;1;150;La Florida, Av. Vicu<f1>a mackenna/bacteriol<f3>gico
C13248584;La Granja;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-granja/casa/benjamin-subercaseaux/3007291;Casa;2;1;2;60;La Granja, Benjamin Subercaseaux
C13248585;La Granja;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-granja/casa/puerto-varas/3456251;Casa;5;2;8;183;La Granja, Puerto varas
C13248586;La Granja;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-granja/casa/las-fucsias/2917947;Casa;16;4;No;200;La Granja, Las Fucsias
C13248587;La Granja;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-granja/casa/odas-elementales/3036409;Casa;4;1;1;82;La Granja, Odas Elementales
C13248588;La Granja;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-granja/casa/los-viloslo-ovalle/3571318;Casa;2;1;No;70;La Granja, Los vilos/lo ovalle
C13248589;La Granja;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-granja/casa/pto-varas-7820/3639316;Casa;6;1;3;200;La Granja, Pto Varas 7820
C13248590;La Granja;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-granja/casa/benjamin-subercaseaux/2685439;Casa;4;2;1;125;La Granja, Benjamin Subercaseaux
C13248591;La Granja;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-granja/casa/cunlahua/3397562;Casa;4;1;3;100;La Granja, Cunlahua
C13248592;La Granja;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-granja/casa/los-pensamientos-totalmente-equipadavive-al-mas-alto-nivel-en-la-granja/3186334;Casa;5;3;1;180;La Granja, Los pensamientos / totalmente equipada/vive al mas alto nivel en la granja
C13248593;La Granja;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-granja/casa/casa-2-pisos-en-san-gregorio/3693754;Casa;3;1;No;151;La Granja, Casa 2 Pisos en San Gregorio
C13248595;La Granja;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-granja/casa/las-begonias/2917961;Casa;19;6;No;170;La Granja, Las Begonias
C13248596;La Pintana;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-pintana/casa/poeta-rafael-alberti-2326/3667733;Casa;2;1;1;42;La Pintana, Poeta Rafael Alberti 2326
C13248597;La Pintana;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-pintana/casa/atropos-10835/3570035;Casa;4;1;2;100;La Pintana, Atropos 10835
C13248598;La Pintana;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-pintana/casa/los-platanossanta-rosa/3623358;Casa;3;3;No;200;La Pintana, Los platanos/santa rosa
C13248599;La Pintana;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-pintana/casa/el-mudai-10848/3714082;Casa;3;1;1;104;La Pintana, El Mudai 10848
C13248600;La Pintana;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-pintana/casa/teniente-perez-canto-referencia-lo-martines/3578311;Casa;3;1;2;140;La Pintana, Teniente p<e9>rez canto  ( referencia Lo Martines )
C13248601;La Pintana;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-pintana/casa/lo-martinezruben-dario/3495461;Casa;5;2;No;57;La Pintana, Lo Mart<ed>nez/Rub<e9>n Dar<ed>o
C13248602;La Pintana;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-pintana/casa/av-san-francisco-12342-la-pintana/3637761;Casa;3;2;2;110;La Pintana, AV. San Francisco 12342, La Pintana
C13248603;La Pintana;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-pintana/casa/jorge-hunneus-332/3413220;Casa;3;1;1;69;La Pintana, Jorge Hunneus 332
C13248604;La Pintana;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-pintana/casa/santa-isidora/3702775;Casa;4;2;2;47;La Pintana, Santa Isidora
C13248605;La Pintana;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-pintana/casa/manantiales-2022/3374892;Casa;2;1;3;120;La Pintana, Manantiales 2022
C13248606;La Pintana;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-pintana/casa/anibal-huneeus-0685-la-pintana-chile/3634706;Casa;3;1;1;90;La Pintana, An<ed>bal Huneeus 0685, La Pintana, Chile
C13248607;La Pintana;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-pintana/casa/juanita/3568901;Casa;3;1;3;100;La Pintana, Juanita
C13248608;La Pintana;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-pintana/casa/lo-blancosan-francisco/3595046;Casa;4;2;No;120;La Pintana, Lo Blanco/San Francisco
C13248610;La Pintana;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-pintana/casa/pasaje-irun/3184091;Casa;8;3;3;274;La Pintana, Pasaje Irun
C13248613;La Pintana;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-pintana/casa/prunos13848/3579987;Casa;3;1;3;90;La Pintana, Prunos13848
C13248614;La Pintana;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-pintana/casa/julio-chavez/3612901;Casa;4;2;5;140;La Pintana, Julio Ch<e1>vez
C13248615;La Reina;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/tobalaba-arrieta/2830003;Casa;9;4;No;310;La Reina, Tobalaba - Arrieta
C13248616;La Reina;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/metro-simon-bolivarav-echenique/3154131;Casa;3;2;No;186;La Reina, Metro Sim<f3>n Bolivar/Av. Eche<f1>ique
C13248617;La Reina;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/simon-gonzalezvicente-perez-rosales/3688084;Casa;4;2;No;220;La Reina, Simon gonzalez/vicente perez rosales
C13248619;La Reina;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/piuchen/3488993;Casa;2;2;1;83;La Reina, Piuch<e9>n
C13248620;La Reina;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/tomas-moraav-fco-bilbao/2243237;Casa;7;5;No;248;La Reina, Tom<e1>s Mora/Av. Fco. Bilbao
C13248621;La Reina;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/francisco-de-villagrabramante/3079373;Casa;3;3;No;220;La Reina, Francisco de Villagra/Bramante
C13248622;La Reina;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/santa-ritasimon-bolivar/3539663;Casa;4;2;No;163;La Reina, Santa Rita/Simon Bolivar
C13248623;La Reina;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/loreley-echenique/3077334;Casa;5;4;No;240;La Reina, Loreley / Eche<f1>ique
C13248624;La Reina;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/7d-y-6b-l-escultora-rebeca-matte-l-helsby/3123483;Casa;6;5;4;450;La Reina, 7D y 6B l Escultora Rebeca Matte l Helsby
C13248625;La Reina;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/simon-bolivarvalenzuela-llanos/2898386;Casa;4;3;No;209;La Reina, Sim<f3>n Bolivar/Valenzuela Llanos
C13248626;La Reina;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/julia-bernstreinalvaro-casanova/3023218;Casa;3;2;No;140;La Reina, Julia bernstrein/Alvaro casanova
C13248627;La Reina;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/alvaro-casanovaalvaro-casanova-lm/2506072;Casa;3;3;No;140;La Reina, alvaro casanova/alvaro Casanova LM
C13248628;La Reina;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/padre-hurtado-survalenzuela-puelma/3170373;Casa;5;3;No;242;La Reina, Padre Hurtado Sur/Valenzuela PUelma
C13248629;La Reina;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/7d-5b-servicio-club-housereina-victoriaprincipe-de-gales-inmobiliaria-residencial-adultos-mayores-colegio/3402223;Casa;7;5;5;400;La Reina, 7D 5B + Servicio + Club House/Reina Victoria/Pr<ed>ncipe de Gales <U+0096> Inmobiliaria, Residencial Adultos Mayores, Colegio
C13248630;La Reina;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/las-perdicestalinay/3539650;Casa;2;1;No;56;La Reina, Las Perdices/Talinay
C13248631;La Reina;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/loreleymonsenor-edwards/1367271;Casa;4;3;No;180;La Reina, Loreley/Monse<f1>or edwards
C13248632;La Reina;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/padre-hurtadovalenzuela-puelma/3170405;Casa;4;3;No;275;La Reina, Padre Hurtado/Valenzuela Puelma
C13248633;La Reina;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/av-alcalde-fernando-castillo-velasco-maria-monvel/3157765;Casa;3;4;No;144;La Reina, Av. Alcalde Fernando Castillo Velasco / Mar<ed>a Monvel
C13248634;La Reina;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/julia-bernstreinalvaro-casanova/3023213;Casa;3;2;No;140;La Reina, Julia bernstrein/Alvaro casanova
C13248635;La Reina;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/carlos-silva-vildosola-las-perdicesmaria-monvel-altazor/3539765;Casa;4;3;No;230;La Reina, Carlos Silva Vild<f3>sola - Las Perdices/Mar<ed>a Monvel - Altazor
C13248636;La Reina;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/metro-principe-de-gales-reina-victoria/3728035;Casa;3;4;No;250;La Reina, Metro Principe de Gales - Reina Victoria
C13248637;La Reina;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/helsbypadre-hurtado/3054974;Casa;5;4;No;285;La Reina, Helsby/Padre Hurtado
C13248638;La Reina;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/santa-ritaalcala-de-henares/3556996;Casa;4;2;No;133;La Reina, Santa rita/alcala de henares
C13248639;La Reina;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/propiedad-residencial-de-1371-m2-carlos-silva-vildosola-la-reina/3109533;Casa;4;5;No;425;La Reina, Propiedad Residencial de 1.371 m2. Carlos Silva Vild<f3>sola. La Reina
C13248640;La Reina;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/carlos-ossandonsimon-bolivar/3524047;Casa;4;3;No;160;La Reina, Carlos ossandon/simon bolivar
C13248641;La Reina;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/carlos-silva-vildosolapadre-hurtado/3569406;Casa;5;4;No;198;La Reina, Carlos Silva Vildosola/Padre Hurtado
C13248642;La Reina;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/av-carlos-ossandon/3017465;Casa;4;5;No;434;La Reina, Av. Carlos Ossand<f3>n
C13248643;La Reina;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/monsenor-edwardspdte-ovalle/3555402;Casa;4;1;No;118;La Reina, Monse<f1>or Edwards/Pdte Ovalle
C13248644;La Reina;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/propiedad-de-800-m2-en-excelente-sector-residencial/3728193;Casa;6;4;No;412;La Reina, Propiedad de 800 m2 en excelente sector residencial
C13248645;La Reina;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/larrain-tobalaba/2158714;Casa;6;4;No;420;La Reina, Larra<ed>n / Tobalaba
C13248646;La Reina;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/larrainalvaro-casanova/2114355;Casa;5;5;No;202;La Reina, Larrain/alvaro casanova
C13248647;La Reina;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/principe-de-gales-salvador-izquierdo/3508925;Casa;4;3;No;295;La Reina, Principe de Gales / Salvador Izquierdo
C13248648;La Reina;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/colegio-grangepdte-ovalle/3473496;Casa;4;3;No;200;La Reina, Colegio Grange/Pdte. Ovalle
C13248649;La Reina;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/carlos-silva-vildosola-las-perdicesavenida-principe-de-galez-la-reina-alta/3539738;Casa;5;4;No;225;La Reina, Carlos Silva Vild<f3>sola - Las Perdices/Avenida pr<ed>ncipe de Galez - La Reina Alta
C13248650;La Reina;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/reina-victoriaramon-laval/3508197;Casa;4;2;No;205;La Reina, Reina Victoria/Ram<f3>n Laval
C13248651;La Reina;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/helsbynicanor-plaza/3556987;Casa;7;5;No;400;La Reina, Helsby/Nicanor Plaza
C13248652;La Reina;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/hospital-militarcarlos-ossandon/1326629;Casa;3;3;No;140;La Reina, Hospital Militar/Carlos Ossandon
C13248653;La Reina;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/la-canadamonsedwards/3508086;Casa;3;2;No;200;La Reina, La Ca<f1>ada/Mons.Edwards
C13248654;La Reina;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/las-perdicesfernando-castillo-velascos/3460808;Casa;3;1;No;85;La Reina, Las Perdices/Fernando Castillo Velascos
C13248655;La Reina;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/alcalde-castillo-velascotobalaba/3507750;Casa;6;2;No;167;La Reina, Alcalde Castillo Velasco/Tobalaba
C13248656;La Reina;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/jose-zapiola-echenique/3509328;Casa;5;3;No;200;La Reina, Jos<e9> Zapiola/ Eche<f1>ique
C13248657;La Reina;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/simon-gonzalezcarlos-ossandon/3066204;Casa;3;3;No;178;La Reina, Simon gonz<e1>lez/carlos ossandon
C13248658;La Reina;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/pje-dos-cauquenanueva-principe-de-gales/1920628;Casa;2;2;No;79;La Reina, pje dos. cauquena/nueva pr<ed>ncipe de gales
C13248659;La Reina;https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/colegio-andree-grange/2686954;Casa;4;2;No;260;La Reina, Colegio Andree - Grange
C13248660;Lampa;https://chilepropiedades.cl/ver-publicacion/venta-usada/lampa/casa/casa-en-av-san-martin-valle-grande/3734555;Casa;3;3;No;117;Lampa, Casa en Av. San Mart<ed>n Valle Grande
C13248661;Lampa;https://chilepropiedades.cl/ver-publicacion/venta-usada/lampa/casa/valle-grande/3695324;Casa;3;3;4;119;Lampa, Valle Grande
C13248662;Lampa;https://chilepropiedades.cl/ver-publicacion/venta-usada/lampa/casa/casa-en-valle-grande/3734517;Casa;4;2;No;84;Lampa, Casa en Valle Grande
C13248663;Lampa;https://chilepropiedades.cl/ver-publicacion/venta-usada/lampa/casa/latorre/3179808;Casa;3;2;2;70;Lampa, Latorre
C13248664;Lampa;https://chilepropiedades.cl/ver-publicacion/venta-usada/lampa/casa/larapinta-pte-2514/3322013;Casa;3;3;1;88;Lampa, Larapinta Pte 2514
C13248665;Lampa;https://chilepropiedades.cl/ver-publicacion/venta-usada/lampa/casa/larapinta-oriente/3161032;Casa;3;3;2;111;Lampa, Larapinta Oriente
C13248666;Lampa;https://chilepropiedades.cl/ver-publicacion/venta-usada/lampa/casa/camino-el-amanecer-condominio-santa-rosa/3629394;Casa;4;3;No;350;Lampa, Camino El Amanecer, Condominio Santa Rosa
C13248667;Lampa;https://chilepropiedades.cl/ver-publicacion/venta-usada/lampa/casa/los-comendadores/3624388;Casa;5;3;5;300;Lampa, Los Comendadores
C13248669;Lampa;https://chilepropiedades.cl/ver-publicacion/venta-usada/lampa/casa/la-montana-surrio-tolten/2272123;Casa;3;2;No;122;Lampa, La monta<f1>a sur/rio tolten
C13248670;Lampa;https://chilepropiedades.cl/ver-publicacion/venta-usada/lampa/casa/condominio-mirador-del-vallebatucolampa/1425526;Casa;4;4;No;280;Lampa, Condominio Mirador del Valle/Batuco/Lampa
C13248671;Lampa;https://chilepropiedades.cl/ver-publicacion/venta-usada/lampa/casa/gral-san-martin-nte-305/3711631;Casa;3;3;2;123;Lampa, Gral San Mart<ed>n Nte 305
C13248673;Lampa;https://chilepropiedades.cl/ver-publicacion/venta-usada/lampa/casa/el-lucero-lampa/3459496;Casa;6;3;4;200;Lampa, El Lucero, Lampa
C13248674;Lampa;https://chilepropiedades.cl/ver-publicacion/venta-usada/lampa/casa/hermosa-vista-al-valle-piscinaquincho/3034676;Casa;3;4;4;150;Lampa, Hermosa vista al valle piscina,quincho
C13248675;Lampa;https://chilepropiedades.cl/ver-publicacion/venta-usada/lampa/casa/baquedano/3526571;Casa;3;1;3;102;Lampa, Baquedano
C13248676;Lampa;https://chilepropiedades.cl/ver-publicacion/venta-usada/lampa/casa/los-guerreros/3536733;Casa;5;4;8;300;Lampa, Los Guerreros
C13248677;Lampa;https://chilepropiedades.cl/ver-publicacion/venta-usada/lampa/casa/la-montana-norte/3647145;Casa;3;3;2;198;Lampa, La Monta<f1>a Norte
C13248678;Lampa;https://chilepropiedades.cl/ver-publicacion/venta-usada/lampa/casa/los-guerreros/3529374;Casa;4;4;4;309;Lampa, Los Guerreros
C13248679;Lampa;https://chilepropiedades.cl/ver-publicacion/venta-usada/lampa/casa/condominio-laguna-norteav-el-porvenir/3630417;Casa;3;2;No;73;Lampa, Condominio Laguna Norte/Av El Porvenir
C13248681;Lampa;https://chilepropiedades.cl/ver-publicacion/venta-usada/lampa/casa/condominio-los-coihues/3606276;Casa;4;4;3;244.47;Lampa, Condominio Los Coihues
C13248682;Lampa;https://chilepropiedades.cl/ver-publicacion/venta-usada/lampa/casa/lampa/3613365;Casa;3;3;2;88;Lampa, lampa
C13248683;Lampa;https://chilepropiedades.cl/ver-publicacion/venta-usada/lampa/casa/gral-san-martin-rio-claro/1035207;Casa;4;3;2;96;Lampa, Gral San Martin / Rio Claro
C13248684;Lampa;https://chilepropiedades.cl/ver-publicacion/venta-usada/lampa/casa/avenida-la-montanario-tolten/3460810;Casa;3;3;No;93;Lampa, Avenida La Monta<f1>a/.Rio Tolten
C13248685;Lampa;https://chilepropiedades.cl/ver-publicacion/venta-usada/lampa/casa/avenida-el-rodeo/3692746;Casa;4;3;3;175;Lampa, Avenida El Rodeo
C13248686;Lampa;https://chilepropiedades.cl/ver-publicacion/venta-usada/lampa/casa/los-comendadores/3551447;Casa;7;3;8;240;Lampa, Los Comendadores
C13248688;Lampa;https://chilepropiedades.cl/ver-publicacion/venta-usada/lampa/casa/av-la-hacienda-2121/3523039;Casa;3;1;2;65;Lampa, Av. La Hacienda 2121
C13248689;Lampa;https://chilepropiedades.cl/ver-publicacion/venta-usada/lampa/casa/batuco/2897565;Casa;3;2;No;100;Lampa, Batuco
C13248690;Lampa;https://chilepropiedades.cl/ver-publicacion/venta-usada/lampa/casa/camino-las-flores/3135762;Casa;3;1;1;73;Lampa, Camino Las Flores
C13248691;Lampa;https://chilepropiedades.cl/ver-publicacion/venta-usada/lampa/casa/las-margaritas-oriente-2443/3541982;Casa;4;3;1;120;Lampa, Las Margaritas Oriente 2443
C13248692;Lampa;https://chilepropiedades.cl/ver-publicacion/venta-usada/lampa/casa/las-calerias/3515842;Casa;3;2;8;120;Lampa, Las Calerias
C13248693;Lampa;https://chilepropiedades.cl/ver-publicacion/venta-usada/lampa/casa/avda-los-halcones/3583576;Casa;3;3;3;99;Lampa, Avda Los Halcones
C13248694;Lampa;https://chilepropiedades.cl/ver-publicacion/venta-usada/lampa/casa/camino-santa-saracondominio-quilquenbatucolampa/1981777;Casa;4;4;No;350;Lampa, Camino Santa Sara/Condominio Quilqu<e9>n/Batuco-Lampa
C13248695;Lampa;https://chilepropiedades.cl/ver-publicacion/venta-usada/lampa/casa/camino-del-viento/3537279;Casa;4;3;2;125;Lampa, Camino del Viento
C13248697;Lampa;https://chilepropiedades.cl/ver-publicacion/venta-usada/lampa/casa/mirador-del-valle/3459671;Casa;3;3;6;140;Lampa, Mirador del Valle
C13248698;Lampa;https://chilepropiedades.cl/ver-publicacion/venta-usada/lampa/casa/las-calerias/3459530;Casa;5;4;8;300;Lampa, Las Calerias
C13248699;Lampa;https://chilepropiedades.cl/ver-publicacion/venta-usada/lampa/casa/casa-2-pisos-en-hacienda-urbana-larapinta/3627620;Casa;3;3;No;111;Lampa, Casa 2 Pisos en Hacienda Urbana Larapinta
C13248700;Lampa;https://chilepropiedades.cl/ver-publicacion/venta-usada/lampa/casa/linda-casa-de-1-piso-en-hacienda-urbana-larapinta/3469164;Casa;3;2;No;71;Lampa, Linda Casa de 1 Piso en Hacienda Urbana Larapinta
C13248701;Lampa;https://chilepropiedades.cl/ver-publicacion/venta-usada/lampa/casa/batuco/3522735;Casa;7;2;5;120;Lampa, Batuco
C13248702;Las Condes;https://chilepropiedades.cl/ver-publicacion/venta-usada/las-condes/casa/paul-harris-vital-apoquindo/3505677;Casa;4;2;No;112;Las Condes, Paul Harris Vital Apoquindo
C13248703;Las Condes;https://chilepropiedades.cl/ver-publicacion/venta-usada/las-condes/casa/la-foresta-mirasolgral-blanche/3011446;Casa;5;4;No;345;Las Condes, La Foresta (Mirasol/Gral. Blanche)
C13248704;Las Condes;https://chilepropiedades.cl/ver-publicacion/venta-usada/las-condes/casa/general-blanche-san-carlos-apoquindoquebrada-honda/2989005;Casa;4;5;No;240;Las Condes, General Blanche San Carlos Apoquindo/Quebrada Honda
C13248705;Las Condes;https://chilepropiedades.cl/ver-publicacion/venta-usada/las-condes/casa/la-forestafrancisco-bulnes-correa/3395897;Casa;6;5;No;311;Las Condes, La Foresta/Francisco Bulnes Correa
